State,Literacy_Total,Literacy_Male,Literacy_Female,Enrol_Rural_All,Enrol_Urban_All,Total_Population,Urban_Population,Sex_Ratio,SC_Population,ST_Population,Enrol_Total_PrePri_12,Enrol_Elementary_1_8,Enrol_Secondary_9_10,Enrol_HS_11_12,Pct_Internet_AllMgmt,Pct_Electricity_AllMgmt,Pct_Library_AllMgmt,Pct_Handwash_AllMgmt,NSQF_SecHS_TotalSchools,NSQF_SecHS_SchoolsWithVoc,Gender_Gap_Literacy,Rural_Urban_Enrol_Divide,Transition_Loss_1_8_to_9_10,Pct_SecHS_With_Voc,Infra_Index,Education_Inequality_Index
Uttar Pradesh,69.72,79.24,59.26,9725972,2254670,199581.48,17.31,908.0,20.7,0.6,47181438.0,35772729.0,6223321.0,4778354.0,14.94,81.75,77.21,90.79,33196.0,161.0,19.979999999999997,-0.6236144941147561,0.8260316958205789,0.48499819255331966,66.1725,52.45152423601538
Bihar,63.82,73.39,53.33,3645753,1012099,103804.64,8.36,916.0,15.9,1.3,27472692.0,21433075.0,3618298.0,1995065.0,8.94,86.54,60.61,85.37,12334.0,0.0,20.060000000000002,-0.5654224307685173,0.8311815733393365,0.0,60.365,52.36305368224713
Odisha,73.45,82.4,64.36,1423531,324650,41947.36,13.15,978.0,17.1,22.8,7576893.0,5590908.0,1246381.0,690228.0,7.26,81.29,91.72,95.06,11969.0,953.0,18.040000000000006,-0.6285853695927367,0.777070021542118,7.962235775754031,68.83250000000001,49.85628314582887
Assam,73.18,78.81,67.27,1097510,296923,31169.27,11.03,954.0,7.2,12.4,7544960.0,5551138.0,1004682.0,545752.0,6.45,60.02,84.14,86.21,9823.0,339.0,11.540000000000006,-0.5741308474483894,0.8190133266368085,3.451084190165937,59.205,49.72933338125608
Delhi,86.34,91.03,80.93,21838,1186313,16753.24,77.03,866.0,16.8,0.0,4572107.0,2945205.0,725275.0,648002.0,87.15,100.0,100.0,100.0,2157.0,347.0,10.099999999999994,0.9638488897497084,0.7537437971210832,16.08715808993973,96.7875,49.16988569423208
Meghalaya,75.48,77.17,73.78,98448,60630,2964.01,15.32,986.0,0.6,86.1,1169720.0,774398.0,117496.0,63044.0,4.39,24.38,14.14,34.15,1827.0,22.0,3.3900000000000006,-0.23773243314600384,0.8482744015351279,1.20415982484948,19.265,47.571502716649555
Himachal Pradesh,83.78,90.83,76.6,400143,82351,6856.51,8.69,974.0,25.2,5.7,1437022.0,893688.0,216429.0,222031.0,23.24,98.15,95.14,99.18,4259.0,953.0,14.230000000000004,-0.6586444598274798,0.7578248784810806,22.376144634890817,78.92750000000001,47.126634943387415
Rajasthan,67.06,80.51,52.66,2596594,1391980,68621.01,19.26,926.0,17.8,13.5,17667510.0,12564969.0,2420574.0,2189460.0,39.45,84.94,75.51,96.2,31463.0,905.0,27.85000000000001,-0.3020162093018708,0.8073553543984072,2.8763944951212537,74.025,46.549011589981674
Tripura,87.75,92.18,83.15,143650,54294,3671.03,14.87,961.0,17.8,31.8,713862.0,491957.0,110536.0,81686.0,5.55,43.96,65.93,83.87,1157.0,135.0,9.030000000000001,-0.4514206038071374,0.7753136961157174,11.66810717372515,49.8275,46.399266440192854
Manipur,79.85,86.49,73.17,96168,49699,2721.76,21.16,987.0,3.8,35.1,693194.0,460886.0,91005.0,79580.0,16.48,66.15,25.47,83.11,1214.0,97.0,13.319999999999993,-0.3185710270314739,0.8025433621329352,7.990115321252059,47.8025,46.286063215282205
Jharkhand,67.63,78.45,56.21,1097769,487659,32966.24,18.18,947.0,12.1,26.2,7970750.0,5855218.0,1089069.0,743920.0,32.49,94.65,93.15,89.49,4961.0,440.0,22.240000000000002,-0.38482353030222755,0.8140002643795671,8.869179600886918,77.44500000000001,46.241729859329396
Uttarakhand,79.63,88.33,70.7,508211,187683,10116.75,21.54,963.0,18.8,2.9,2449926.0,1657676.0,365696.0,332396.0,18.06,89.68,89.7,95.08,3930.0,0.0,17.629999999999995,-0.46059888431284074,0.7793923541150382,0.0,73.13,45.810210080283156
Chhattisgarh,71.04,81.45,60.59,1071763,468337,25540.2,16.39,991.0,12.8,30.6,5992197.0,4178931.0,840172.0,745127.0,14.02,94.24,96.98,96.94,7275.0,546.0,20.86,-0.3918096227517694,0.7989504971486727,7.505154639175257,75.545,45.72570985523893
Chandigarh,86.43,90.54,81.38,6166,73994,1054.69,76.66,818.0,18.9,0.0,268627.0,160050.0,43795.0,42723.0,97.39,100.0,98.26,100.0,169.0,28.0,9.16000000000001,0.8461576846307385,0.7263667603873789,16.56804733727811,98.9125,45.257115306173034
West Bengal,77.08,82.67,71.16,3357819,1038227,91347.74,24.55,947.0,23.5,5.8,18733367.0,12388412.0,2766802.0,2009900.0,10.97,96.75,86.66,97.35,10690.0,669.0,11.510000000000005,-0.527654169223889,0.7766620935758353,6.258185219831619,72.9325,45.249381659632014
Mizoram,91.58,93.72,89.4,18569,45951,1091.01,40.42,975.0,0.1,94.4,309904.0,208598.0,40605.0,28134.0,9.15,84.0,81.78,72.61,900.0,46.0,4.319999999999993,0.42439553626782395,0.8053432918819932,5.111111111111112,61.885000000000005,43.68817594122624
Arunachal Pradesh,66.95,73.69,59.57,42241,46581,1382.61,16.48,920.0,0.0,68.8,354382.0,248991.0,45455.0,33860.0,9.52,57.28,42.59,39.48,476.0,99.0,14.119999999999997,0.04886176848078179,0.8174432007582604,20.798319327731093,37.2175,43.24112239615474
Sikkim,82.2,87.29,76.43,34355,9934,607.69,9.85,889.0,4.6,33.8,135963.0,75359.0,23151.0,17819.0,21.14,99.21,90.18,96.52,266.0,194.0,10.86,-0.5514010250852356,0.6927905094282036,72.93233082706767,76.7625,42.01931333169183
Nagaland,80.11,83.29,76.69,36697,53720,1980.6,17.31,931.0,0.0,86.5,443796.0,274394.0,58721.0,34060.0,16.7,71.68,55.65,53.77,778.0,26.0,6.6000000000000085,0.18827211696915402,0.7859975072341232,3.3419023136246784,49.45,40.8378550925774
Lakshadweep,92.28,96.11,88.25,3829,1087,64.43,41.86,946.0,0.0,94.8,13586.0,8208.0,1873.0,1923.0,93.33,100.0,100.0,100.0,15.0,0.0,7.859999999999999,-0.5577705451586655,0.771807992202729,0.0,98.3325,40.77681563026883
Andhra Pradesh,67.66,75.56,59.74,1287211,922754,84665.53,24.58,992.0,16.4,7.0,8244647.0,5893827.0,1341250.0,932179.0,23.64,95.06,90.33,87.79,15183.0,476.0,15.82,-0.16491528146373358,0.7724313930490325,3.1350852927616413,74.205,38.94865438599081
Haryana,76.64,85.38,66.77,888497,586548,25353.08,24.12,877.0,20.2,0.0,6035679.0,4059601.0,952143.0,780290.0,44.37,98.96,96.36,99.18,8522.0,1074.0,18.61,-0.20470494120518357,0.765458969982518,12.602675428303215,84.7175,38.7605377734918
Kerala,93.91,96.02,91.98,1378832,524557,33387.68,24.76,1084.0,9.1,1.5,6423120.0,3987243.0,996090.0,871615.0,89.01,99.38,97.68,98.71,4921.0,233.0,4.039999999999992,-0.44881787170147563,0.7501807640015921,4.734809997967893,96.195,37.01543417408523
